R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_SIG_TD,B_SIG_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_CTRL,B_CTRL,R_LANDED_HEAD,B_LANDED_HEAD,R_LANDED_BODY,B_LANDED_BODY,R_LANDED_LEG,B_LANDED_LEG,R_DISTANCE,B_DISTANCE,R_LANDED_CLINCH,B_LANDED_CLINCH,R_LANDED_GROUND,B_LANDED_GROUND,win_by,Referee,location,Weight_class,Winner,Winner By Corner,title_bout,B_age,R_age,B_Stance,R_Stance,B_Height_cms,R_Height_cms,B_current_win_streak,R_current_win_streak,R_TOTAL_TD,B_TOTAL_TD,R_ATT_HEAD,B_ATT_HEAD,R_ATT_BODY,B_ATT_BODY,R_ATT_LEG,B_ATT_LEG,R_ATT_CLINCH,B_ATT_CLINCH,R_ATT_GROUND,B_ATT_GROUND,Day,Month,Year
Adrian Yanez,Gustavo Lopez,2,0,41,23,39,45,103,51,0,0,0,0,0,0,3,0,32,14,8,5,1,4,102,51,0,0,0,0,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Bantamweight Bout,Adrian Yanez,Red,False,31,27,Orthodox,Orthodox,165.1,170.18,0,1,0,1,83,40,19,7,1,4,0,0,1,0,20,March,2021
Trevin Giles,Roman Dolidze,0,0,27,32,47,47,73,110,1,1,50,33,1,2,75,255,22,10,4,7,1,15,42,59,4,3,8,1,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Middleweight Bout,Trevin Giles,Red,False,32,28,Orthodox,Orthodox,187.96,182.88,2,2,2,3,51,37,4,14,2,16,5,6,10,2,20,March,2021
Tai Tuivasa,Harry Hunsucker,1,0,14,2,77,33,18,6,0,0,0,0,0,0,10,0,10,1,0,0,4,1,10,6,0,0,5,0,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",Heavyweight Bout,Tai Tuivasa,Red,False,32,28,Orthodox,Southpaw,187.96,187.96,0,3,0,0,14,5,0,0,4,1,0,0,8,0,20,March,2021
Cheyanne Buys,Montserrat Conejo,0,0,31,15,47,36,87,168,0,4,0,80,0,2,64,593,26,10,5,0,0,5,56,41,2,0,3,0,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Montserrat Conejo,Blue,False,28,25,Southpaw,Switch,152.4,160.02,0,0,0,5,60,35,5,1,0,5,2,0,7,0,20,March,2021
Marion Reneau,Macy Chiasson,0,0,30,51,47,36,93,184,2,1,50,100,0,0,135,228,14,29,7,15,9,7,54,119,5,13,0,2,Decision - Unanimous,Mark Smith,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Macy Chiasson,Blue,False,29,43,Orthodox,Orthodox,180.34,167.64,3,2,4,1,40,110,13,20,10,8,9,15,0,4,20,March,2021
Leonardo Santos,Grant Dawson,0,0,30,46,44,54,115,132,1,1,50,7,0,0,81,498,14,16,6,23,10,7,65,68,2,9,0,4,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Lightweight Bout,Grant Dawson,Blue,False,27,41,Switch,Orthodox,177.8,182.88,4,1,2,13,45,48,10,27,12,9,2,11,0,5,20,March,2021
Song Kenan,Max Griffin,0,1,14,17,58,60,24,28,0,0,0,0,0,0,0,28,5,11,5,2,4,4,24,27,0,0,0,1,KO/TKO,Keith Peterson,"Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin,Blue,False,35,31,Orthodox,Orthodox,180.34,182.88,0,2,0,1,10,17,8,7,6,4,0,0,0,1,20,March,2021
Derek Brunson,Kevin Holland,0,0,43,36,46,48,323,236,6,1,50,100,1,0,1015,107,28,28,7,2,8,6,43,64,10,5,19,2,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson,Red,False,28,37,Orthodox,Southpaw,190.5,185.42,0,2,12,1,74,64,10,4,9,6,10,7,40,3,20,March,2021
Montel Jackson,Jesse Strader,2,0,15,14,57,56,26,25,0,0,0,0,0,0,16,1,11,3,2,3,2,8,12,22,3,0,7,2,KO/TKO,Keith Peterson,"Las Vegas, Nevada, USA",Bantamweight Bout,Montel Jackson,Red,False,29,28,Orthodox,Southpaw,170.18,177.8,0,0,0,0,22,7,2,7,2,11,4,1,10,2,20,March,2021
Bruno Silva,JP Buys,3,0,37,17,60,30,89,76,1,0,50,0,0,1,231,62,29,8,4,4,4,5,43,53,1,2,10,0,KO/TKO,Mark Smith,"Las Vegas, Nevada, USA",Flyweight Bout,Bruno Silva,Red,False,24,31,Unknown,Unknown,165.1,182.88,0,0,2,1,51,42,6,7,4,7,2,3,16,0,20,March,2021
Manel Kape,Matheus Nicolau,0,0,61,55,40,53,165,132,0,2,0,22,0,1,38,151,37,27,10,21,14,7,145,96,1,2,2,3,Decision - Split,Unknown,"Las Vegas, Nevada, USA",Flyweight Bout,Matheus Nicolau,Blue,False,28,27,Orthodox,Southpaw,167.64,165.1,3,0,0,9,120,66,16,26,14,10,2,2,3,4,13,March,2021
Misha Cirkunov,Ryan Spann,0,1,5,16,27,55,18,29,0,0,0,0,0,0,0,13,5,14,0,2,0,0,18,13,0,0,0,12,KO/TKO,Mark Smith,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Ryan Spann,Blue,False,29,34,Orthodox,Orthodox,195.58,190.5,4,4,0,0,18,27,0,2,0,0,0,0,0,16,13,March,2021
Leon Edwards,Belal Muhammad,0,0,19,8,48,30,40,32,0,0,0,0,0,0,19,33,10,7,5,1,4,0,38,23,0,2,0,0,Could Not Continue,Herb Dean,"Las Vegas, Nevada, USA",Welterweight Bout,Draw,Draw,False,32,29,Orthodox,Southpaw,180.34,187.96,0,0,1,0,29,23,6,3,4,0,1,3,0,0,13,March,2021
Charles Jourdain,Marcelo Rojo,2,0,106,74,48,36,248,211,0,1,0,50,0,0,177,28,68,25,21,22,17,27,163,187,14,11,19,0,KO/TKO,Mark Smith,"Las Vegas, Nevada, USA",Featherweight Bout,Charles Jourdain,Red,False,32,25,Orthodox,Switch,172.72,175.26,0,0,1,2,167,146,35,29,18,29,18,17,39,0,13,March,2021
Eryk Anders,Darren Stewart,1,0,43,15,68,35,79,51,3,0,42,0,0,0,155,0,38,7,3,2,2,6,32,38,11,4,15,0,Could Not Continue,Herb Dean,"Las Vegas, Nevada, USA",Middleweight Bout,Draw,Draw,False,30,33,Orthodox,Southpaw,182.88,185.42,0,2,7,0,57,32,3,2,3,8,14,4,17,0,13,March,2021
